,season_year,season_type,gamekey,game_date,week,playid,game_clock,yardline,quarter,play_type,poss_team,home_team_visit_team,score_home_visiting,playdescription,No Play,PENALTY,declined,Offensive Holding,Defensive 12 On-field,Illegal Block Above the Waist,Fair Catch Interference,Running Into the Kicker,Unnecessary Roughness,Illegal Touch Kick,Illegal Use of Hands,False Start,Out of Bounds on Punt,Horse Collar Tackle,Face Mask,Ineligible Downfield Kick,Illegal Substitution,Illegal Formation,Delay of Game,Illegal Blindside Block,Neutral Zone Infraction,Tripping,Defensive Holding,Roughing the Kicker,Unsportsmanlike Conduct,Defensive Offside,Interference with Opportunity to Catch,Illegal Motion,Chop Block,Clipping,Invalid Fair Catch Signal,Illegal Shift,Offensive 12 On-field,Taunting,Offensive Pass Interference,Disqualification,Defensive Pass Interference,REVERSED,out of bounds,Touchback,fair catch,MUFF,downed,BLOCKED,TOUCHDOWN,no gain,FUMBLES,pass incomplete,Returned,returned for,return_yards,risk_factor,Season_Year,GameKey,PlayID,PlayUnique,GL,GLi,GLo,GR,GRi,GRo,P,PC,PDL1,PDL2,PDL3,PDL4,PDL5,PDL6,PDM,PDR1,PDR2,PDR3,PDR4,PDR5,PDR6,PFB,PLG,PLL,PLL1,PLL2,PLL3,PLM,PLM1,PLR,PLR1,PLR2,PLR3,PLS,PLT,PLW,PPL,PPLi,PPLo,PPR,PPRi,PPRo,PR,PRG,PRT,PRW,VL,VLi,VLo,VR,VRi,VRo
9,2017,Pre,337,08/10/2017,2,2778,08:49,BUF 25,3,Punt,BUF,BUF-MIN,3 - 10,"(8:49) C.Schmidt punts 42 yards to MIN 33, Center-R.Ferguson. R.Adams MUFFS catch, recovered by MIN-J.Tocho at MIN 29. J.Tocho to MIN 29 for no gain (T.Jones).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.0,44.0,2017,337,2778,2017-337-2778,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
11,2016,Post,332,02/05/2017,4,246,10:41,ATL 40,1,Punt,ATL,ATL-NE,0 - 0,"(10:41) M.Bosher punts 55 yards to NE 5, Center-J.Harris. J.Edelman to NE 10 for 5 yards (C.Goodwin; P.DiMarco).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 5 yard,5.0,42.0,2016,332,246,2016-332-246,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
12,2017,Reg,516,10/29/2017,8,3982,01:05,DAL 45,4,Punt,DAL,WAS-DAL,19 - 26,"(1:05) C.Jones punts 42 yards to WAS 13, Center-L.Ladouceur. J.Crowder MUFFS catch, and recovers at WAS 13. J.Crowder to WAS 12 for -1 yards (K.Frazier, B.Jones).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.0,40.0,2017,516,3982,2017-516-3982,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
13,2016,Reg,169,10/23/2016,7,2443,13:10,TB 24,3,Punt,TB,SF-TB,14 - 17,"(13:10) B.Anger punts 42 yards to SF 34, Center-A.DePaola. A.Burbridge MUFFS catch, RECOVERED by TB-K.Tandy at SF 36. K.Tandy to SF 36 for no gain (J.Shepherd). 2-yds of loose ball yardage.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.0,38.0,2016,169,2443,2016-169-2443,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
14,2017,Reg,583,12/03/2017,13,3496,09:08,NO 5,4,Punt,NO,NO-CAR,28 - 14,"(9:08) T.Morstead punts 53 yards to CAR 42, Center-Z.Wood. K.Clay to CAR 45 for 3 yards (C.Banjo). FUMBLES (C.Banjo), RECOVERED by NO-C.Robertson at CAR 47. C.Robertson to CAR 47 for no gain (W.Horton).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.0,38.0,2017,583,3496,2017-583-3496,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1
15,2017,Post,656,01/06/2018,1,403,08:56,ATL 14,1,Punt,ATL,LA-ATL,0 - 0,"(8:56) M.Bosher punts 43 yards to LA 43, Center-J.Harris. B.Countess MUFFS catch, touched at LA 30, RECOVERED by ATL-L.Reynolds at LA 17. L.Reynolds to LA 17 for no gain (J.Reynolds). The Replay Official reviewed the kick touched ruling, and the play was Upheld. The ruling on the field was confirmed.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.0,38.0,2017,656,403,2017-656-403,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
18,2016,Pre,3,08/11/2016,2,2643,06:10,CAR 49,3,Punt,CAR,BLT-CAR,22 - 13,"(6:10) (Punt formation) S.Waters punts 36 yards to BLT 15, Center-J.Jansen. K.Clay MUFFS catch, RECOVERED by CAR-F.Whittaker at BLT 12. F.Whittaker to BLT 12 for no gain (K.Clay).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.0,36.0,2016,3,2643,2016-3-2643,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
19,2017,Reg,566,11/26/2017,12,2173,13:23,MIA 33,3,Punt,MIA,NE-MIA,21 - 10,"(13:23) M.Haack punts 39 yards to NE 28, Center-J.Denney. D.Amendola to NE 28 for no gain (W.Aikens). FUMBLES (W.Aikens), recovered by NE-J.Jones at NE 23. J.Jones to NE 23 for no gain (W.Aikens).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.0,36.0,2017,566,2173,2017-566-2173,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
20,2016,Reg,105,09/25/2016,3,122,13:37,NYG 29,1,Punt,NYG,NYG-WAS,0 - 0,"(13:37) B.Wing punts 44 yards to WAS 27, Center-Z.DeOssie. Q.Dunbar MUFFS catch, RECOVERED by NYG-D.Harris at WAS 28. D.Harris to WAS 28 for no gain (N.Paul). Penalty on WAS-D.Phillips, Offensive Holding, declined.",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.0,36.0,2016,105,122,2016-105-122,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
17,2016,Reg,281,12/18/2016,15,170,12:44,TEN 46,1,Punt,TEN,KC-TEN,0 - 0,"(12:44) B.Kern punts 33 yards to KC 21, Center-B.Brinkley. T.Hill MUFFS catch, and recovers at KC 26. T.Hill to KC 26 for no gain (A.Wallace).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.0,36.0,2016,281,170,2016-281-170,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
16,2016,Pre,27,08/20/2016,3,125,13:39,HST 23,1,Punt,HST,HST-NO,0 - 0,"(13:39) S.Lechler punts 41 yards to NO 36, Center-J.Weeks. M.Murphy to NO 37 for 1 yard (B.Peters). FUMBLES (B.Peters), RECOVERED by HST-J.Grimes at NO 39. J.Grimes to NO 39 for no gain (V.Bell).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.0,36.0,2016,27,125,2016-27-125,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
21,2017,Reg,577,12/03/2017,13,1640,04:09,DET 31,2,Punt,DET,BLT-DET,17 - 0,"(4:09) (Punt formation) S.Martin punts 49 yards to BLT 20, Center-D.Muhlbach. M.Campanaro to BLT 29 for 9 yards (D.Carey). FUMBLES (D.Carey), recovered by BLT-M.Canady at BLT 30. M.Canady to BLT 30 for no gain (Z.Zenner).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.0,34.0,2017,577,1640,2017-577-1640,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
22,2017,Pre,377,08/25/2017,4,3085,05:43,SEA 34,3,Punt,SEA,SEA-KC,19 - 10,"(5:43) J.Ryan punts 42 yards to KC 24, Center-T.Ott. A.Wilson to KC 42 for 18 yards (P.Desir; C.French). PENALTY on KC-D.Robinson, Unnecessary Roughness, 12 yards, enforced at KC 24.",False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.0,34.0,2017,377,3085,2017-377-3085,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
23,2016,Reg,169,10/23/2016,7,4211,02:58,SF 32,4,Punt,SF,SF-TB,17 - 34,"(2:58) B.Pinion punts 40 yards to TB 28, Center-K.Nelson. A.Humphries MUFFS catch, and recovers at TB 30. A.Humphries to TB 30 for no gain (D.Johnson).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.0,34.0,2016,169,4211,2016-169-4211,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
24,2017,Reg,416,09/17/2017,2,2387,12:28,BLT 44,3,Punt,BLT,BLT-CLV,21 - 7,"(12:28) (Punt formation) S.Koch punts 56 yards to end zone, Center-M.Cox, Touchback. PENALTY on CLV-I.Campbell, Defensive Offside, 5 yards, enforced at BLT 44 - No Play.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0.0,34.0,2017,416,2387,2017-416-2387,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
25,2017,Reg,408,09/10/2017,1,805,02:55,PHI 20,1,Punt,PHI,WAS-PHI,0 - 7,"(2:55) D.Jones punts 40 yards to WAS 40, Center-R.Lovato. J.Crowder MUFFS catch, touched at WAS 40, RECOVERED by PHI-T.Burton at WAS 39.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.0,32.0,2017,408,805,2017-408-805,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0
26,2017,Pre,364,08/19/2017,3,4066,02:35,GB 47,4,Punt,GB,WAS-GB,17 - 21,"(2:35) J.Vogel punts 43 yards to WAS 10, Center-D.Hart. J.Quick to WAS 11 for 1 yard (J.Kerridge, C.Heiman).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 1 yard,1.0,32.0,2017,364,4066,2017-364-4066,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1
31,2016,Reg,206,11/13/2016,10,1796,02:35,TEN 44,2,Punt,TEN,TEN-GB,28 - 10,"(2:35) (Punt formation) B.Kern punts 34 yards to GB 22, Center-B.Brinkley. T.Davis MUFFS catch, RECOVERED by TEN-L.Sims at GB 24. PENALTY on GB-K.Fackrell, Unsportsmanlike Conduct, 12 yards, enforced at GB 24.",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.0,30.0,2016,206,1796,2016-206-1796,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
33,2017,Reg,565,11/26/2017,12,2936,00:45,KC 42,3,Punt,KC,KC-BUF,10 - 16,"(:45) D.Colquitt punts 47 yards to BUF 11, Center-J.Winchester. B.Tate MUFFS catch, touched at BUF 11, and recovers at BUF 15. B.Tate to BUF 15 for no gain (K.Pierre-Louis).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.0,30.0,2017,565,2936,2017-565-2936,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
32,2016,Pre,19,08/18/2016,3,3556,04:18,CLV 39,4,Punt,CLV,CLV-ATL,13 - 24,"(4:18) (Punt formation) A.Lee punts 50 yards to ATL 11, Center-C.Hughlett. D.Fuller to ATL 20 for 9 yards (C.Hughlett).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 9 yard,9.0,30.0,2016,19,3556,2016-19-3556,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
30,2016,Reg,106,09/25/2016,3,1033,00:13,TEN 43,1,Punt,TEN,TEN-OAK,3 - 7,"(:13) (Punt formation) B.Kern punts 43 yards to OAK 14, Center-B.Brinkley. J.Richard to OAK 26 for 12 yards (A.Blake; W.Woodyard).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,for 12 yard,12.0,30.0,2016,106,1033,2016-106-1033,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0
