,season_year,gamekey,playid,gsisid,time,x,y,dis,o,dir,event,number,position,role,generalized_role,punting_returning_team,gsisid_injured,player_activity_derived,turnover_related,primary_impact_type,primary_partner_gsisid,primary_partner_activity_derived,friendly_fire,ball_snap,line_set,penalty_flag,play_submit,punt,punt_play,punt_received,tackle,mph,injured_player,primary_partner_player,left_to_right
130,2016,5,3129,31130.0,2016-08-12 02:07:41.600,77.86000061035155,21.479999542236328,0.479999989271164,143.66000366210938,253.0200042724609,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,9.818181620546534,False,False,False
131,2016,5,3129,31130.0,2016-08-12 02:07:41.700,77.3499984741211,21.43000030517578,0.5199999809265137,140.14999389648435,253.6100006103516,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,10.636363269860505,False,False,False
132,2016,5,3129,31130.0,2016-08-12 02:07:41.800,76.87000274658203,21.3700008392334,0.479999989271164,135.91999816894528,253.91999816894528,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,9.818181620546534,False,False,False
133,2016,5,3129,31130.0,2016-08-12 02:07:41.900,76.44999694824219,21.309999465942386,0.41999998688697815,130.75,253.7899932861328,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,8.590908841779097,False,False,False
136,2016,5,3129,31130.0,2016-08-12 02:07:44.500,65.87000274658203,16.329999923706055,0.6100000143051147,122.5,244.1300048828125,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,12.47727304760462,False,False,False
137,2016,5,3129,31130.0,2016-08-12 02:07:44.600,65.27999877929689,16.030000686645508,0.6600000262260437,122.8000030517578,244.8600006103516,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,13.500000566441804,False,False,False
138,2016,5,3129,31130.0,2016-08-12 02:07:44.700,64.65000152587889,15.760000228881836,0.6899999976158142,124.83999633789064,245.63999938964844,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,14.113636346232562,False,False,False
139,2016,5,3129,31130.0,2016-08-12 02:07:44.800,64.01000213623047,15.449999809265135,0.7099999785423279,128.25,247.0500030517578,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,14.522726866093068,False,False,False
140,2016,5,3129,31130.0,2016-08-12 02:07:44.900,63.349998474121094,15.140000343322756,0.7300000190734862,132.14999389648435,248.8699951171875,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,14.93181860513949,False,False,False
141,2016,5,3129,31130.0,2016-08-12 02:07:45.000,62.63999938964844,14.829999923706055,0.7599999904632568,137.52000427246094,251.02999877929688,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,15.545454384930252,False,False,False
142,2016,5,3129,31130.0,2016-08-12 02:07:37.500,81.05000305175781,25.65999984741211,0.18000000715255735,169.5,82.56999969482422,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,3.6818183363023094,False,False,False
143,2016,5,3129,31130.0,2016-08-12 02:07:37.600,81.20999908447266,25.739999771118164,0.18000000715255735,166.74000549316406,83.30000305175781,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,3.6818183363023094,False,False,False
144,2016,5,3129,31130.0,2016-08-12 02:07:42.600,73.98000335693358,20.270000457763672,0.4399999976158143,116.91999816894531,251.3600006103516,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,8.999999971232565,False,False,False
145,2016,5,3129,31130.0,2016-08-12 02:07:42.700,73.58999633789062,20.049999237060547,0.44999998807907104,119.06999969482422,250.6300048828125,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,9.204545231162815,False,False,False
146,2016,5,3129,31130.0,2016-08-12 02:07:42.800,73.25,19.81999969482421,0.4099999964237213,121.48999786376952,249.8999938964844,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,8.386363581848844,False,False,False
147,2016,5,3129,31130.0,2016-08-12 02:07:42.900,72.87999725341797,19.649999618530273,0.4099999964237213,123.95999908447266,249.3300018310547,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,8.386363581848844,False,False,False
148,2016,5,3129,31130.0,2016-08-12 02:07:43.000,72.48000335693358,19.5,0.41999998688697815,126.73999786376952,248.47999572753903,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,8.590908841779097,False,False,False
150,2016,5,3129,31130.0,2016-08-12 02:07:43.600,69.91999816894531,18.93000030517578,0.5,135.71000671386722,244.27999877929688,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,10.22727275,False,False,False
151,2016,5,3129,31130.0,2016-08-12 02:07:43.700,69.48000335693361,18.76000022888184,0.4699999988079071,132.8800048828125,244.50999450683602,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,9.613636360616281,False,False,False
152,2016,5,3129,31130.0,2016-08-12 02:07:43.800,69.05000305175781,18.600000381469727,0.4600000083446503,130.33999633789062,244.7400054931641,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,9.409091100686028,False,False,False
153,2016,5,3129,31130.0,2016-08-12 02:07:43.900,68.65000152587889,18.360000610351566,0.4699999988079071,128.16000366210935,244.44999694824216,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,9.613636360616281,False,False,False
154,2016,5,3129,31130.0,2016-08-12 02:07:44.000,68.25,18.059999465942386,0.5,126.87000274658205,244.08999633789062,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,10.22727275,False,False,False
155,2016,5,3129,31130.0,2016-08-12 02:07:44.100,67.81999969482422,17.700000762939453,0.5600000023841858,126.55999755859376,243.69000244140625,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,11.454545528767436,False,False,False
156,2016,5,3129,31130.0,2016-08-12 02:07:38.700,84.37999725341797,25.71999931335449,0.239999994635582,198.80999755859366,124.5199966430664,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,4.909090810273267,False,False,False
157,2016,5,3129,31130.0,2016-08-12 02:07:38.800,84.55999755859375,25.649999618530273,0.1899999976158142,200.19000244140625,134.28999328613278,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,3.886363596232563,False,False,False
158,2016,5,3129,31130.0,2016-08-12 02:07:38.900,84.70999908447266,25.59000015258789,0.17000000178813934,199.55999755859366,147.13999938964844,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,3.4772727715755773,False,False,False
159,2016,5,3129,31130.0,2016-08-12 02:07:39.100,84.73000335693358,25.209999084472656,0.2300000041723252,192.07000732421875,176.35000610351562,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,4.704545550343015,False,False,False
160,2016,5,3129,31130.0,2016-08-12 02:07:39.200,84.66000366210938,24.95000076293945,0.2700000107288361,184.7100067138672,189.97000122070312,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,5.522727504453466,False,False,False
161,2016,5,3129,31130.0,2016-08-12 02:07:39.300,84.55000305175781,24.690000534057607,0.2800000011920929,175.5,202.3699951171875,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,5.727272764383718,False,False,False
162,2016,5,3129,31130.0,2016-08-12 02:07:39.400,84.38999938964844,24.479999542236328,0.25999999046325684,165.07000732421875,211.22000122070312,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,5.318181634930252,False,False,False
163,2016,5,3129,31130.0,2016-08-12 02:07:43.100,72.08999633789062,19.38999938964844,0.4099999964237213,130.30000305175778,247.5500030517578,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,8.386363581848844,False,False,False
164,2016,5,3129,31130.0,2016-08-12 02:07:43.200,71.66999816894531,19.299999237060547,0.4300000071525574,134.22999572753906,246.44000244140625,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,8.795454711302309,False,False,False
165,2016,5,3129,31130.0,2016-08-12 02:07:43.300,71.2300033569336,19.280000686645508,0.4399999976158143,137.33999633789062,245.3600006103516,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,8.999999971232565,False,False,False
166,2016,5,3129,31130.0,2016-08-12 02:07:43.500,70.4000015258789,19.090000152587887,0.4600000083446503,138.22000122070312,244.47000122070312,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,9.409091100686028,False,False,False
171,2016,5,3129,31130.0,2016-08-12 02:07:40.000,83.23000335693358,23.76000022888184,0.239999994635582,132.91000366210935,230.80999755859366,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,4.909090810273267,False,False,False
172,2016,5,3129,31130.0,2016-08-12 02:07:40.100,83.0,23.71999931335449,0.2300000041723252,132.83999633789062,233.25,,52,OLB,PLG,Punting_Lineman,Punting_Team,31057,Tackling,No,Helmet-to-body,32482.0,Tackled,No,2016-08-12 02:07:37.000,2016-08-12 02:07:31.400,2016-08-12 02:07:50.900,2016-08-12 02:07:51.900,2016-08-12 02:07:39.000,2016-08-12 02:07:25.100,2016-08-12 02:07:43.400,2016-08-12 02:07:48.300,4.704545550343015,False,False,False
